,index,order,subject,threshold,day,lp_duration,lp_met,ipi,past_he_duration,rew_dummy,gcamp_lp,gcamp_lp_per_sec,gcamp_lp_mod,gcamp_lp_mod_per_sec,gcamp_zscore,gcamp_mod_zscore,gcamp_lp_per_sec_zscore,gcamp_lp_mod_per_sec_zscore
0,0,1,3201,1600,2,668.153599999845,0,,6102.796799987555,0.0,13806666,20663910.214662023,9068739.2,13572835.946707616,-0.3785766710804098,-0.5302818130670188,1.0,0.9503757523343588
1,1,2,3201,1600,2,668.153599999845,0,1179.5199999958277,0.0,0.0,13476015,20169037.478811946,9011671.8,13487425.34651028,-0.3968925473672473,-0.5337317783587412,1.0,0.9231059873802808
2,2,3,3201,1600,2,749.6000000014901,0,2863.38560000062,0.0,0.0,15357140,20487113.12696034,10220581.8,13634714.247571616,-0.2926906765727322,-0.4606480643501082,1.0,0.9701321609817672
3,3,4,3201,1600,2,1450.0288000032306,0,1618.3167999982834,0.0,0.0,29432515,20297883.04889836,19349954.0,13344530.812047932,0.4869919107802336,0.0912610330543014,1.0,0.8774828403820454
4,4,5,3201,1600,2,771.0784000009298,0,1019.9167999997736,0.0,0.0,15767241,20448298.12374589,10402697.8,13491102.59084868,-0.2699737962938026,-0.4496383831824479,1.0,0.924280052292074
5,5,6,3201,1600,2,832.0063999965787,0,359.846400000155,0.0,0.0,16997784,20429871.69337868,11237474.4,13506475.911779298,-0.2018098610459615,-0.3991726129468645,1.0,0.929188422533858
6,6,7,3201,1600,2,901.5231999978424,0,278.5152000039816,0.0,0.0,18316927,20317754.440533355,12220816.9,13555743.102373015,-0.128738072384661,-0.3397254067507588,1.0,0.9449183753071012
7,7,8,3201,1600,2,1597.9199999943376,0,937.9072000011802,0.0,0.0,32247865,20181151.121529408,21351595.8,13362118.128614487,0.6429436614301575,0.2122687316083092,1.0,0.8830980917423544
8,8,9,3201,1600,2,1905.0560000017283,1,1400.793600000441,0.0,1.0,38295605,20102088.8624614,25376326.7,13320514.82999816,0.9779484176684834,0.455580708560529,1.0,0.8698150546022299
9,9,10,3201,1600,2,827.9231999963522,0,16330.265600003302,442.4192000031471,1.0,16862816,20367608.97638126,11123807.0,13435795.73570231,-0.2092861946747178,-0.4060442872267572,1.0,0.9066217647176262
10,10,11,3201,1600,2,1167.7760000005364,0,2989.9648000001907,0.0,0.0,23643887,20246936.912549272,15611857.4,13368880.161942726,0.1663402438609633,-0.1347226901765788,1.0,0.885257063334249
11,11,12,3201,1600,2,557.4975999966264,0,372.7616000026465,0.0,0.0,11629964,20861011.778472904,7646507.7,13715767.924465096,-0.4991515507732333,-0.6162617124805972,1.0,0.9960108541702252
12,12,13,3201,1600,2,1069.625600002706,0,671.667199999094,0.0,0.0,21830401,20409385.30261876,14455780.6,13514804.24548873,0.0658851258546309,-0.2046124141620001,1.0,0.9318474801003732
13,13,14,3201,1600,2,598.3935999944806,0,393.16480000317097,0.0,0.0,12244892,20462939.443391345,8116639.0,13564047.142340535,-0.4650886107751313,-0.5878402903104548,1.0,0.9475696764050952
14,14,15,3201,1600,2,131.53920000046492,0,24079.73120000213,2314.316800005734,0.0,3016797,22934585.279440176,2002431.8,15223080.268033575,-0.9762639781055908,-0.9574699322145874,2.0,1.4772632189413892
15,15,16,3201,1600,2,1421.66400000453,0,36.97919999808073,0.0,0.0,28471121,20026617.400390867,18956857.1,13334273.8508815,0.4337370482003295,0.0674966656346589,1.0,0.8742080136098945
16,16,17,3201,1600,2,61.86879999935627,0,1040.4351999983191,0.0,0.0,1707210,27594037.70588347,1096440.9,17722032.75336532,-1.048806427633494,-1.0122409075808465,2.0,2.2751249216920786
17,17,18,3201,1600,2,582.1247999966145,0,2576.320000000298,0.0,0.0,11967227,20557837.426046096,7901058.7,13572791.779436216,-0.480469413461906,-0.6008730297129706,1.0,0.9503616506759348
18,18,19,3201,1600,2,1450.4512000009418,0,1191.7824000045655,0.0,0.0,29043978,20024098.7080304,19337304.2,13331923.335295558,0.4654695333343496,0.0904962992317121,1.0,0.8734575446118844
19,19,20,3201,1600,2,369.1199999973178,0,2547.7119999974966,0.0,0.0,7876307,21338066.211685177,5200896.9,14089989.434432684,-0.7070792970532132,-0.7641092117018993,1.0,1.115491721814268
20,20,21,3201,1600,2,659.9104000031948,0,262.11840000003576,0.0,0.0,13591368,20595777.85095401,8959046.4,13576155.793205604,-0.3905027548751164,-0.5369132059945371,1.0,0.9514357078138256
21,21,22,3201,1600,2,729.5296000018716,0,7749.350400000811,0.0,0.0,14656114,20089814.039022405,9858040.6,13512872.6784694,-0.3315228757490739,-0.4825652106861851,1.0,0.931230772355802
22,22,23,3201,1600,2,209.37600000202656,0,2531.3279999941587,0.0,0.0,4571851,21835601.97900308,2947030.1,14075300.416339386,-0.8901242819203327,-0.9003649765022177,1.0,1.1108018347290007
23,23,24,3201,1600,2,2818.4512000009418,1,159.65439999848604,0.0,0.0,56238530,19953700.103085414,37305190.8,13236060.571134789,1.9718676694596584,1.1767309119108609,1.0,0.8428506288371151
24,24,25,3201,1600,2,451.001599997282,0,62863.70560000092,10104.87040001154,1.0,9483226,21027034.050560243,6180714.7,13704418.565338235,-0.618066623246182,-0.7048750885035074,1.0,0.9923872482588532
25,25,26,3201,1600,2,3440.9791999980807,1,15429.23520000279,1331.276800006628,0.0,68485881,19903020.919172715,45322513.4,13171399.989870695,2.6502898298568014,1.6614119154705551,1.0,0.8222058979864728
26,26,27,3201,1600,2,2707.859200000763,1,15871.603200003505,2228.0703999996185,1.0,54077076,19970416.482505724,35785984.4,13215600.131642709,1.8521374280156888,1.084888470324899,1.0,0.8363180512118895
27,27,28,3201,1600,2,1417.657600000501,0,21073.27999999374,2064.2048000097275,1.0,28432772,20056163.067859232,18722243.6,13206463.676414805,0.4316127674943165,0.0533132889262484,1.0,0.8334009778509401
28,28,29,3201,1600,2,750.0351999998093,0,450.5216000005603,0.0,0.0,15177137,20235232.95973824,10051606.6,13401513.155652637,-0.3026616510420657,-0.470863328671978,1.0,0.8956760753323039
29,29,30,3201,1600,2,192.99200000613928,0,3940.236800000072,0.0,0.0,4209612,21812365.278695945,2795376.4,14484415.93387848,-0.9101899242751652,-0.9095330830106848,1.0,1.2414236073963345
30,30,31,3201,1600,2,2867.603199996054,1,69.64479999989271,0.0,0.0,57295779,19980372.11008791,37708489.6,13149828.260776067,2.030432264420456,1.2011120272620657,1.0,0.815318509527611
31,31,32,3201,1600,2,90.50240000337362,0,548.8640000000596,0.0,1.0,2045595,22602660.260100808,1364000.6,15071430.149356866,-1.0300621389504974,-0.996065793970209,2.0,1.4288446024931134
